,"taxon.name","variable.units","variable.element","variable.context","taxon.group","ecological.group","alias","match"
"46702","Tsuga undiff.","NISP","pollen","NA","Vascular plants","TRSH","Tsuga undiff.","Hemlock"
"35","Ulmus","NISP","pollen","NA","Vascular plants","TRSH","Ulmus","Elm"
"125","Ulmus","NISP","pollen","NA","Vascular plants","TRSH","NA","Elm"
"17715","Ulmus","NISP digitized","pollen","NA","Vascular plants","TRSH","NA","Elm"
"43693","Ulmus americana","NISP","pollen","NA","Vascular plants","TRSH","NA","Elm"
"44556","Urticaceae/Moraceae","NISP","pollen","NA","Vascular plants","TRSH","NA",
"3452","Vaccinium","NISP","pollen","NA","Vascular plants","TRSH","Vaccinium",
"3578","Vaccinium","NISP","pollen","NA","Vascular plants","TRSH","NA",
"4695","Vaccinium angustifolium-type","NISP","pollen","NA","Vascular plants","TRSH","Vaccinium angustifolium-type",
"44089","Vaccinium angustifolium-type","NISP","pollen","NA","Vascular plants","TRSH","NA",
"10550","Vaccinium macrocarpon-type","NISP","pollen","NA","Vascular plants","TRSH","Vaccinium macrocarpon-type",
"44084","Vaccinium macrocarpon-type","NISP","pollen","NA","Vascular plants","TRSH","NA",
"4735","Vaccinium oxycoccos","NISP","pollen","NA","Vascular plants","TRSH","Vaccinium oxycoccos",
"51593","Vaccinium uliginosum","NISP","pollen","NA","Vascular plants","TRSH","NA",
"4726","Vaccinium uliginosum-type","NISP","pollen","NA","Vascular plants","TRSH","Vaccinium uliginosum-type",
"44085","Vaccinium uliginosum-type","NISP","pollen","NA","Vascular plants","TRSH","NA",
"4678","Vaccinium undiff.","NISP","pollen","NA","Vascular plants","TRSH","Vaccinium undiff.",
"49277","Vaccinium-type","NISP","pollen","NA","Vascular plants","TRSH","Vaccinium-type",
"647","Viburnum","NISP","pollen","NA","Vascular plants","TRSH","Viburnum",
"1299","Viburnum","NISP","pollen","NA","Vascular plants","TRSH","NA",
"3743","Viburnum alnifolium","NISP","pollen","NA","Vascular plants","TRSH","Viburnum alnifolium",
"44069","Viburnum alnifolium","NISP","pollen","NA","Vascular plants","TRSH","NA",
"32039","Viburnum cf. V. opulus","NISP","pollen","NA","Vascular plants","TRSH","Viburnum cf. V. opulus",
"534","Viburnum edule","NISP","pollen","NA","Vascular plants","TRSH","Viburnum edule",
"44087","Viburnum edule","NISP","pollen","NA","Vascular plants","TRSH","NA",
"2972","Viburnum lentago","NISP","pollen","NA","Vascular plants","TRSH","Viburnum lentago",
"3858","Viburnum lentago","NISP","pollen","NA","Vascular plants","TRSH","NA",
"573","Viburnum nudum","NISP","pollen","NA","Vascular plants","TRSH","Viburnum nudum",
"44079","Viburnum nudum","NISP","pollen","NA","Vascular plants","TRSH","NA",
"529","Viburnum opulus","NISP","pollen","NA","Vascular plants","TRSH","Viburnum opulus",
"10814","Viburnum opulus","NISP","pollen","NA","Vascular plants","TRSH","NA",
"27971","Viburnum opulus-type","NISP","pollen","NA","Vascular plants","TRSH","Viburnum opulus-type",
"27941","Viburnum rafinesquianum-type","NISP","pollen","NA","Vascular plants","TRSH","Viburnum rafinesquianum-type",
"46105","Viburnum rafinesquianum-type","NISP","pollen","NA","Vascular plants","TRSH","NA",
"3346","Viburnum undiff.","NISP","pollen","NA","Vascular plants","TRSH","Viburnum undiff.",
"44061","Viburnum undiff.","NISP","pollen","NA","Vascular plants","TRSH","NA",
"28593","Viscaceae sensu stricto","NISP","pollen","NA","Vascular plants","TRSH","NA",
"9443","Vitaceae","NISP","pollen","NA","Vascular plants","TRSH","Vitaceae",
"48584","Vitaceae","NISP","pollen","NA","Vascular plants","TRSH","NA",
"127","Vitis","NISP","pollen","NA","Vascular plants","TRSH","NA",
"1221","Vitis","NISP","pollen","NA","Vascular plants","TRSH","Vitis",
"23588","Vitis cf. V. aestivalis","NISP","pollen","NA","Vascular plants","TRSH","NA",
"6291","Vitis riparia","NISP","pollen","NA","Vascular plants","TRSH","NA",
"8124","Zanthoxylum","NISP","pollen","NA","Vascular plants","TRSH","Zanthoxylum",
"18260","Zanthoxylum","NISP","pollen","NA","Vascular plants","TRSH","NA",
"3834","Zanthoxylum americanum","NISP","pollen","NA","Vascular plants","TRSH","NA",
"49370","Zanthoxylum americanum","NISP","pollen","NA","Vascular plants","TRSH","Zanthoxylum americanum",
"27922","Zanthoxylum-type","NISP","pollen","NA","Vascular plants","TRSH","Zanthoxylum-type",
"13","Indeterminable","NISP","pollen/spore","NA","Unidentified","UNID","Indeterminable",
"109","Indeterminable","NISP","pollen/spore","NA","Unidentified","UNID","NA",
"38869","Indeterminable","NISP","pollen","NA","Unidentified","UNID","NA",
"39494","Indeterminable","NISP","pollen","NA","Unidentified","UNID","Indeterminable",
"33749","Indeterminable (reticulate)","NISP","pollen/spore","NA","Unidentified","UNID","Indeterminable (reticulate)",
"39626","Indeterminable (triporate)","NISP","pollen/spore","NA","Unidentified","UNID","Indeterminable (triporate)",
"1004","Indeterminable undiff.","NISP","pollen/spore","NA","Unidentified","UNID","NA",
"14975","Indeterminable undiff.","NISP","pollen/spore","NA","Unidentified","UNID","Indeterminable undiff.",
"39765","Indeterminable undiff.","NISP","pollen","NA","Unidentified","UNID","Indeterminable undiff.",
"35985","Other plants","NISP","pollen","NA","Plants undiff.","UNID","NA",
"44058","Sporites","NISP","spore","NA","Unidentified","UNID","NA",
"26","Unknown","NISP","pollen/spore","anachronic","Unidentified","UNID","Unknown|anachronic|pollen/spore|NISP",
"27","Unknown","NISP","pollen/spore","NA","Unidentified","UNID","Unknown|NA|pollen/spore|NISP",
"72","Unknown","NISP","pollen/spore","NA","Unidentified","UNID","NA",
"428","Unknown","NISP","pollen/spore","NA","Unidentified","UNID","Unknown",
"4422","Unknown","NISP","spore","NA","Unidentified","UNID","Unknown",
"9412","Unknown","NISP","pollen/spore","NA","Unidentified","UNID","Unknown|pollen/spore|NISP",
"9413","Unknown","NISP","spore","NA","Unidentified","UNID","Unknown|spore|NISP",
"37273","Unknown","NISP","pollen","NA","Unidentified","UNID","NA",
"4704","Unknown (alete)","NISP","spore","NA","Unidentified","UNID","Unknown (alete)",
"11552","Unknown (diporate)","NISP","spore","NA","Unidentified","UNID","NA",
"50286","Unknown (inaperturate, psilate)","NISP","pollen/spore","NA","Unidentified","UNID","NA",
"24932","Unknown (monolete, psilate)","NISP","spore","NA","Unidentified","UNID","NA",
"35637","Unknown (monolete, verrucate)","NISP","spore","NA","Unidentified","UNID","NA",
"450","Unknown (monolete)","NISP","spore","NA","Unidentified","UNID","Unknown (monolete)",
"2803","Unknown (monolete)","NISP","spore","NA","Unidentified","UNID","NA",
"4829","Unknown (monolete) undiff.","NISP","spore","NA","Unidentified","UNID","Unknown (monolete) undiff.",
"26767","Unknown (monolete) undiff.","NISP","spore","NA","Unidentified","UNID","NA",
"35900","Unknown (pre-Quaternary)","NISP","pollen/spore","anachronic","Unidentified","UNID","Unknown (pre-Quaternary)",
"36099","Unknown (pre-Quaternary)","NISP","pollen/spore","NA","Unidentified","UNID","NA",
"38457","Unknown (pre-Quaternary)","NISP","pollen/spore","NA","Unidentified","UNID","Unknown (pre-Quaternary)",
"50614","Unknown (pre-Quaternary)","NISP","palynomorph","NA","Unidentified","UNID","NA",
"45112","Unknown (trilete, psilate)","NISP","spore","NA","Unidentified","UNID","NA",
"35600","Unknown (trilete, scabrate)","NISP","spore","NA","Unidentified","UNID","NA",
"517","Unknown (trilete)","NISP","spore","NA","Unidentified","UNID","Unknown (trilete)",
"1034","Unknown (trilete)","NISP","spore","NA","Unidentified","UNID","NA",
"1634","Unknown (trilete) undiff.","NISP","spore","NA","Unidentified","UNID","Unknown (trilete) undiff.",
"26795","Unknown (trilete) undiff.","NISP","spore","NA","Unidentified","UNID","NA",
"50166","Unknown and other","NISP","pollen/spore","NA","Unidentified","UNID","Unknown and other",
"375","Unknown undiff.","NISP","pollen/spore","anachronic","Unidentified","UNID","NA",
"1058","Unknown undiff.","NISP","spore","NA","Unidentified","UNID","NA",
"2951","Unknown undiff.","NISP","spore","NA","Unidentified","UNID","Unknown undiff.",
"4423","Unknown undiff.","NISP","pollen/spore","NA","Unidentified","UNID","Unknown undiff.",
"4825","Unknown undiff.","NISP","pollen/spore","anachronic","Unidentified","UNID","Unknown undiff.",
"12971","Unknown undiff.","NISP","spore","anachronic","Unidentified","UNID","NA",
"34102","Unknown undiff.","NISP","pollen/spore","NA","Unidentified","UNID","NA",
"17036","Unknown/Indeterminable","NISP","pollen/spore","NA","Unidentified","UNID","NA",
"17716","Unknown/Indeterminable","NISP digitized","pollen/spore","NA","Unidentified","UNID","NA",
"50167","Unknown/Indeterminable","NISP","pollen/spore","NA","Unidentified","UNID","Unknown/Indeterminable",
"46576","Varia","NISP","pollen/spore","NA","Unidentified","UNID","NA",
"27234","Bryophyta","NISP","spore","NA","Bryophytes","UPBR","NA",
"44809","Bryophyta undiff.","NISP","spore","NA","Bryophytes","UPBR","NA",
"46964","Bryophyta undiff.","NISP","spore","NA","Bryophytes","UPBR","Bryophyta undiff.",
"12708","Bryopsida","NISP","spore","NA","Bryophytes","UPBR","NA",
"17718","Bryopsida","NISP digitized","spore","NA","Bryophytes","UPBR","NA",
"4708","cf. Mnium","NISP","spore","NA","Bryophytes","UPBR","cf. Mnium",
"49545","Dicranum","NISP","spore","NA","Bryophytes","UPBR","NA",
"9676","Encalypta","NISP","spore","NA","Bryophytes","UPBR","NA",
"47304","Ulota","NISP","pollen","NA","Bryophytes","UPBR","NA",
"17690","Acalypha","NISP digitized","pollen","NA","Vascular plants","UPHE","NA",
"23593","Acalypha cf. A. rhomboidea","NISP","pollen","NA","Vascular plants","UPHE","NA",
"50015","Achillea","NISP","pollen","NA","Vascular plants","UPHE","NA",
"15742","Achillea-type","NISP","pollen","NA","Vascular plants","UPHE","Achillea-type",
"36105","Achillea-type","NISP","pollen","NA","Vascular plants","UPHE","NA",
"41828","Actaea rubra","NISP","pollen","NA","Vascular plants","UPHE","NA",
"28103","Aesculus","NISP","pollen","NA","Vascular plants","UPHE","NA",
"1560","Agastache-type","NISP","pollen","NA","Vascular plants","UPHE","NA",
"43621","Agoseris glauca-type","NISP","pollen","NA","Vascular plants","UPHE","NA",
"43633","Agrimonia","NISP","pollen","NA","Vascular plants","UPHE","NA",
"4836","Allium","NISP","pollen","NA","Vascular plants","UPHE","Allium",
"10803","Allium","NISP","pollen","NA","Vascular plants","UPHE","NA",
"35315","Allium-type","NISP","pollen","NA","Vascular plants","UPHE","Allium-type",
"50501","Alternanthera","NISP","pollen","NA","Vascular plants","UPHE","NA",
"81","Amaranthaceae","NISP","pollen","NA","Vascular plants","UPHE","NA",
"400","Amaranthaceae","NISP","pollen","NA","Vascular plants","UPHE","Amaranthaceae",
"17695","Amaranthaceae","NISP digitized","pollen","NA","Vascular plants","UPHE","NA",
"4","Amaranthaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","Amaranthaceae undiff.",
"94","Amaranthaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA",
"34130","Amaranthaceae-type","NISP","pollen","NA","Vascular plants","UPHE","Amaranthaceae-type",
"5","Ambrosia","NISP","pollen","NA","Vascular plants","UPHE","Ambrosia",
"95","Ambrosia","NISP","pollen","NA","Vascular plants","UPHE","NA",
"84","Ambrosia-type","NISP","pollen","NA","Vascular plants","UPHE","NA",
"463","Ambrosia-type","NISP","pollen","NA","Vascular plants","UPHE","Ambrosia-type",
"17696","Ambrosia-type","NISP digitized","pollen","NA","Vascular plants","UPHE","NA",
"35145","Ambrosia/Iva","NISP","pollen","NA","Vascular plants","UPHE","NA",
"38460","Ambrosia/Iva annua","NISP","pollen","NA","Vascular plants","UPHE","NA",
"142","Amorpha","NISP","pollen","NA","Vascular plants","UPHE","NA",
"1229","Amorpha","NISP","pollen","NA","Vascular plants","UPHE","Amorpha",
"2873","Amorpha canescens","NISP","pollen","NA","Vascular plants","UPHE","NA",
"50504","Amorpha cf. A. canescens","NISP","pollen","NA","Vascular plants","UPHE","NA",
"4749","Amorpha-type","NISP","pollen","NA","Vascular plants","UPHE","Amorpha-type",
"6008","Amorpha-type","NISP","pollen","NA","Vascular plants","UPHE","NA",
"46889","Androsace","NISP","pollen","NA","Vascular plants","UPHE","Androsace",
"46315","Anemone","NISP","pollen","NA","Vascular plants","UPHE","NA",
"4861","Anemone canadensis-type","NISP","pollen","NA","Vascular plants","UPHE","Anemone canadensis-type",
"8099","Anemone quinquefolia-type","NISP","pollen","NA","Vascular plants","UPHE","Anemone quinquefolia-type",
"47329","Anemone sect. Hepatica","NISP","pollen","NA","Vascular plants","UPHE","NA",
"17870","Anemone-type","NISP","pollen","NA","Vascular plants","UPHE","NA",
"33557","Anemone-type","NISP","pollen","NA","Vascular plants","UPHE","Anemone-type",
"899","Angiospermae undiff. (herbs)","NISP","pollen","NA","Vascular plants","UPHE","NA",
"3644","Angiospermae undiff. (herbs)","NISP","pollen","NA","Vascular plants","UPHE","Angiospermae undiff. (herbs)",
"22646","Angiospermae undiff. (upland herbs)","NISP","pollen","NA","Vascular plants","UPHE","Angiospermae undiff. (upland herbs)",
"48678","Anthemis-type","NISP","pollen","NA","Vascular plants","UPHE","Anthemis-type",
"60","Apiaceae","NISP","pollen","NA","Vascular plants","UPHE","Apiaceae",
"128","Apiaceae","NISP","pollen","NA","Vascular plants","UPHE","NA",
"17740","Apiaceae","NISP digitized","pollen","NA","Vascular plants","UPHE","NA",
"10804","Apiaceae cf. Sium suave","NISP","pollen","NA","Vascular plants","UPHE","NA",
"10730","Apiaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA",
"15747","Apiaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","Apiaceae undiff.",
"17729","Apocynum","NISP digitized","pollen","NA","Vascular plants","UPHE","NA",
"49522","Arabis","NISP","pollen","NA","Vascular plants","UPHE","NA",
"50656","Araceae cf. Calla","NISP","pollen","NA","Vascular plants","UPHE","NA",
"50638","Araceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA",
"14569","Aralia hispida","NISP","pollen","NA","Vascular plants","UPHE","Aralia hispida",
"37708","Araliaceae","NISP","pollen","NA","Vascular plants","UPHE","NA",
"531","Arceuthobium pusillum","NISP","pollen","NA","Vascular plants","UPHE","Arceuthobium pusillum",
"38773","Arceuthobium pusillum","NISP","pollen","NA","Vascular plants","UPHE","NA",
"15360","Arenaria","NISP","pollen","NA","Vascular plants","UPHE","Arenaria",
"6867","Armeria","NISP","pollen","NA","Vascular plants","UPHE","Armeria",
"31574","Armeria","NISP","pollen","NA","Vascular plants","UPHE","NA",
"567","Armeria maritima","NISP","pollen","NA","Vascular plants","UPHE","Armeria maritima",
"40","Artemisia","NISP","pollen","NA","Vascular plants","UPHE","Artemisia",
"79","Artemisia","NISP","pollen","NA","Vascular plants","UPHE","NA",
"17730","Artemisia","NISP digitized","pollen","NA","Vascular plants","UPHE","NA",
"46785","Aster","NISP","pollen","NA","Vascular plants","UPHE","Aster",
"48632","Aster-type","NISP","pollen","NA","Vascular plants","UPHE","Aster-type",
"50137","Aster-type","NISP","pollen","NA","Vascular plants","UPHE","NA",
"36182","Asteraceae","NISP","pollen","NA","Vascular plants","UPHE","Asteraceae",
"41899","Asteraceae","NISP","pollen","NA","Vascular plants","UPHE","NA",
"38502","Asteraceae (high spine)","NISP","pollen","NA","Vascular plants","UPHE","Asteraceae (high spine)",
"42880","Asteraceae (high spine)","NISP","pollen","NA","Vascular plants","UPHE","NA",
"35660","Asteraceae (lophate, echinate)","NISP","pollen","NA","Vascular plants","UPHE","NA",
"38503","Asteraceae (low spine)","NISP","pollen","NA","Vascular plants","UPHE","Asteraceae (low spine)",
"42881","Asteraceae (low spine)","NISP","pollen","NA","Vascular plants","UPHE","NA",
"35242","Asteraceae subf. Asteroideae","NISP","pollen","NA","Vascular plants","UPHE","NA",
"43303","Asteraceae subf. Asteroideae","NISP","pollen","NA","Vascular plants","UPHE","Asteraceae subf. Asteroideae",
"28","Asteraceae subf. Asteroideae undiff.","NISP","pollen","NA","Vascular plants","UPHE","Asteraceae subf. Asteroideae undiff.",
"98","Asteraceae subf. Asteroideae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA",
"17717","Asteraceae subf. Asteroideae undiff.","NISP digitized","pollen","NA","Vascular plants","UPHE","NA",
"147","Asteraceae subf. Cichorioideae","NISP","pollen","NA","Vascular plants","UPHE","NA",
"562","Asteraceae subf. Cichorioideae","NISP","pollen","NA","Vascular plants","UPHE","Asteraceae subf. Cichorioideae",
"51193","Asteraceae tribe Cichorieae","NISP","pollen","NA","Vascular plants","UPHE","Asteraceae tribe Cichorieae",
"4857","Asteraceae tribe Cynareae","NISP","pollen","NA","Vascular plants","UPHE","Asteraceae tribe Cynareae",
"78","Asteraceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA",
"3076","Asteraceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","Asteraceae undiff.",
"49938","Asteraceae undiff.","NISP digitized","pollen","NA","Vascular plants","UPHE","NA",
"37126","Astragalus","NISP","pollen","NA","Vascular plants","UPHE","Astragalus",
"34866","Astragalus-type","NISP","pollen","NA","Vascular plants","UPHE","NA",
"4795","Avena-type","NISP","pollen","NA","Vascular plants","UPHE","Avena-type",
"20056","Avena-type","NISP","pollen","NA","Vascular plants","UPHE","NA",
"15749","Avena/Triticum","NISP","pollen","NA","Vascular plants","UPHE","Avena/Triticum",
"26727","Avena/Triticum","NISP","pollen","NA","Vascular plants","UPHE","NA",
"37558","Balsaminaceae","NISP","pollen","NA","Vascular plants","UPHE","NA",
"49371","Balsaminaceae","NISP","pollen","NA","Vascular plants","UPHE","Balsaminaceae",
"1492","Bidens","NISP","pollen","NA","Vascular plants","UPHE","NA",
"48648","Bidens","NISP","pollen","NA","Vascular plants","UPHE","Bidens",
"8116","Bidens-type","NISP","pollen","NA","Vascular plants","UPHE","Bidens-type",
"10329","Bidens-type","NISP","pollen","NA","Vascular plants","UPHE","NA",
"17589","Bistorta bistortoides-type","NISP","pollen","NA","Vascular plants","UPHE","Bistorta bistortoides-type",
"44426","Bistorta bistortoides-type","NISP","pollen","NA","Vascular plants","UPHE","NA",
"50639","Bistorta officinalis-type","NISP","pollen","NA","Vascular plants","UPHE","NA",
"570","Bistorta vivipara","NISP","pollen","NA","Vascular plants","UPHE","Bistorta vivipara",
"5656","Bistorta vivipara","NISP","pollen","NA","Vascular plants","UPHE","NA",
"21931","Bistorta vivipara-type","NISP","pollen","NA","Vascular plants","UPHE","Bistorta vivipara-type",
"9065","Boraginaceae","NISP","pollen","NA","Vascular plants","UPHE","NA",
"15816","Boraginaceae","NISP","pollen","NA","Vascular plants","UPHE","Boraginaceae",
"359","Boraginaceae cf. Mertensia paniculata","NISP","pollen","NA","Vascular plants","UPHE","NA",
"50640","Boraginaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA",
"7271","Brassica","NISP","pollen","NA","Vascular plants","UPHE","NA",
"8053","Brassica","NISP","pollen","NA","Vascular plants","UPHE","Brassica",
"33283","Brassica-type","NISP","pollen","NA","Vascular plants","UPHE","NA",
"33654","Brassica-type","NISP","pollen","NA","Vascular plants","UPHE","Brassica-type",
"100","Brassicaceae","NISP","pollen","NA","Vascular plants","UPHE","NA",
"501","Brassicaceae","NISP","pollen","NA","Vascular plants","UPHE","Brassicaceae",
"17744","Brassicaceae","NISP digitized","pollen","NA","Vascular plants","UPHE","NA",
"1611","Brassicaceae cf. Brassica","NISP","pollen","NA","Vascular plants","UPHE","Brassicaceae cf. Brassica",
"3770","Brassicaceae cf. Brassica","NISP","pollen","NA","Vascular plants","UPHE","NA",
"1616","Brassicaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","Brassicaceae undiff.",
"3837","Brassicaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA",
"7738","Brassicaceae-type","NISP","pollen","NA","Vascular plants","UPHE","Brassicaceae-type",
"7839","Brassicaceae-type","NISP","pollen","NA","Vascular plants","UPHE","NA",
"3838","Caltha-type","NISP","pollen","NA","Vascular plants","UPHE","NA",
"9330","Caltha-type","NISP","pollen","NA","Vascular plants","UPHE","Caltha-type",
"9446","Campanula","NISP","pollen","NA","Vascular plants","UPHE","Campanula",
"11558","Campanula","NISP","pollen","NA","Vascular plants","UPHE","NA",
"26768","Campanula aparinoides-type","NISP","pollen","NA","Vascular plants","UPHE","NA",
"27956","Campanula aparinoides-type","NISP","pollen","NA","Vascular plants","UPHE","Campanula aparinoides-type",
"4841","Campanula rotundifolia-type","NISP","pollen","NA","Vascular plants","UPHE","Campanula rotundifolia-type",
"563","Campanula-type","NISP","pollen","NA","Vascular plants","UPHE","Campanula-type",
"1320","Campanulaceae","NISP","pollen","NA","Vascular plants","UPHE","NA",
"15482","Campanulaceae","NISP","pollen","NA","Vascular plants","UPHE","Campanulaceae",
"13659","Cannabaceae cf. Humulus","NISP","pollen","NA","Vascular plants","UPHE","NA",
"1296","Cannabaceae sensu stricto","NISP","pollen","NA","Vascular plants","UPHE","NA",
"14708","Cannabaceae sensu stricto","NISP","pollen","NA","Vascular plants","UPHE","Cannabaceae sensu stricto",
"26800","Cannabaceae sensu stricto undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA",
"18181","Cannabis sativa","NISP","pollen","NA","Vascular plants","UPHE","Cannabis sativa",
"38156","Cannabis sativa","NISP","pollen","NA","Vascular plants","UPHE","NA",
"3771","Cannabis sativa-type","NISP","pollen","NA","Vascular plants","UPHE","NA",
"8005","Cannabis sativa-type","NISP","pollen","NA","Vascular plants","UPHE","Cannabis sativa-type",
"33628","Cannabis-type","NISP","pollen","NA","Vascular plants","UPHE","Cannabis-type",
"37248","Cannabis-type","NISP","pollen","NA","Vascular plants","UPHE","NA",
"40863","Carex","NISP","pollen","NA","Vascular plants","UPHE","NA",
"87","Caryophyllaceae","NISP","pollen","NA","Vascular plants","UPHE","NA",
"445","Caryophyllaceae","NISP","pollen","NA","Vascular plants","UPHE","Caryophyllaceae",
"17742","Caryophyllaceae","NISP digitized","pollen","NA","Vascular plants","UPHE","NA",
"38455","Caryophyllaceae cf. Dianthus","NISP","pollen","NA","Vascular plants","UPHE","Caryophyllaceae cf. Dianthus",
"40091","Caryophyllaceae cf. Silene","NISP","pollen","NA","Vascular plants","UPHE","NA",
"9343","Caryophyllaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","Caryophyllaceae undiff.",
"37632","Caryophyllaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA",
"2894","Caulophyllum","NISP","pollen","NA","Vascular plants","UPHE","NA",
"23577","Caulophyllum thalictroides","NISP","pollen","NA","Vascular plants","UPHE","NA",
"50641","Centaurea","NISP","pollen","NA","Vascular plants","UPHE","NA",
"15353","Cerastium-type","NISP","pollen","NA","Vascular plants","UPHE","Cerastium-type",
"2578","Cerealia","NISP","pollen","NA","Vascular plants","UPHE","NA",
"2909","Cerealia","NISP","pollen","NA","Vascular plants","UPHE","Cerealia",
"17556","Cerealia undiff.","NISP","pollen","NA","Vascular plants","UPHE","Cerealia undiff.",
"27297","Cerealia undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA",
"1717","Cerealia-type","NISP","pollen","NA","Vascular plants","UPHE","NA",
"11576","Cerealia-type","NISP","pollen","NA","Vascular plants","UPHE","Cerealia-type",
"33477","Cerealia-type undiff.","NISP","pollen","NA","Vascular plants","UPHE","Cerealia-type undiff.",
"34609","Cerealia-type undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA",
"35974","cf. Acalypha","NISP","pollen","NA","Vascular plants","UPHE","cf. Acalypha",
"50694","cf. Adoxa moschatellina","NISP","pollen","NA","Vascular plants","UPHE","NA",
"29171","cf. Amorpha","NISP","pollen","NA","Vascular plants","UPHE","NA",
"23618","cf. Arabis glabra","NISP","pollen","NA","Vascular plants","UPHE","NA",
"43192","cf. Araceae","NISP","pollen","NA","Vascular plants","UPHE","cf. Araceae",
"13097","cf. Arisaema","NISP","pollen","NA","Vascular plants","UPHE","cf. Arisaema",
"39183","cf. Brassica","NISP","pollen","NA","Vascular plants","UPHE","NA",
"1493","cf. Brassicaceae","NISP","pollen","NA","Vascular plants","UPHE","NA",
"32881","cf. Caltha","NISP","pollen","NA","Vascular plants","UPHE","NA",
"25951","cf. Cistaceae","NISP","pollen","NA","Vascular plants","UPHE","NA",
"25691","cf. Dalea","NISP","pollen","NA","Vascular plants","UPHE","NA",
"646","cf. Diapensia lapponica","NISP","pollen","NA","Vascular plants","UPHE","cf. Diapensia lapponica",
"31581","cf. Dryas","NISP","pollen","NA","Vascular plants","UPHE","NA",
"1622","cf. Eriogonum","NISP","pollen","NA","Vascular plants","UPHE","cf. Eriogonum",
"13660","cf. Eriogonum","NISP","pollen","NA","Vascular plants","UPHE","NA",
"40255","cf. Euphorbia","NISP","pollen","NA","Vascular plants","UPHE","NA",
"21034","cf. Gentiana","NISP","pollen","NA","Vascular plants","UPHE","NA",
"39562","cf. Gentiana","NISP","pollen","NA","Vascular plants","UPHE","cf. Gentiana",
"13650","cf. Geranium","NISP","pollen","NA","Vascular plants","UPHE","NA",
"23623","cf. Hedysarum","NISP","pollen","NA","Vascular plants","UPHE","NA",
"7830","cf. Heteranthera","NISP","pollen","NA","Vascular plants","UPHE","NA",
"10799","cf. Heuchera richardsonii","NISP","pollen","NA","Vascular plants","UPHE","NA",
"31971","cf. Heuchera richardsonii","NISP","pollen","NA","Vascular plants","UPHE","cf. Heuchera richardsonii",
"6361","cf. Hypericum","NISP","pollen","NA","Vascular plants","UPHE","NA",
"8202","cf. Hypericum","NISP","pollen","NA","Vascular plants","UPHE","cf. Hypericum",
"37339","cf. Impatiens","NISP","pollen","NA","Vascular plants","UPHE","NA",
"37276","cf. Iva annua","NISP","pollen","NA","Vascular plants","UPHE","NA",
"31972","cf. Linaria canadensis","NISP","pollen","NA","Vascular plants","UPHE","cf. Linaria canadensis",
"25957","cf. Linnaea borealis","NISP","pollen","NA","Vascular plants","UPHE","NA",
"38843","cf. Linum","NISP","pollen","NA","Vascular plants","UPHE","NA",
"23597","cf. Lobelia siphilitica","NISP","pollen","NA","Vascular plants","UPHE","NA",
"45891","cf. Lysimachia","NISP","pollen","NA","Vascular plants","UPHE","NA",
"18245","cf. Lysimachia thyrsiflora","NISP","pollen","NA","Vascular plants","UPHE","NA",
"40020","cf. Medicago","NISP","pollen","NA","Vascular plants","UPHE","NA",
"10818","cf. Mertensia paniculata","NISP","pollen","NA","Vascular plants","UPHE","NA",
"32043","cf. Mertensia paniculata","NISP","pollen","NA","Vascular plants","UPHE","cf. Mertensia paniculata",
"32066","cf. Mitella nuda","NISP","pollen","NA","Vascular plants","UPHE","cf. Mitella nuda",
"7843","cf. Opuntia","NISP","pollen","NA","Vascular plants","UPHE","NA",
"37866","cf. Oxalis","NISP","pollen","NA","Vascular plants","UPHE","NA",
"553","cf. Oxyria digyna","NISP","pollen","NA","Vascular plants","UPHE","cf. Oxyria digyna",
"32051","cf. Parietaria pensylvanica","NISP","pollen","NA","Vascular plants","UPHE","cf. Parietaria pensylvanica",
"17627","cf. Parnassia","NISP","pollen","NA","Vascular plants","UPHE","cf. Parnassia",
"45735","cf. Parnassia","NISP","pollen","NA","Vascular plants","UPHE","NA",
"23560","cf. Pedicularis","NISP","pollen","NA","Vascular plants","UPHE","NA",
"6316","cf. Penthorum sedoides","NISP","pollen","NA","Vascular plants","UPHE","NA",
"1653","cf. Phacelia hastata","NISP","pollen","NA","Vascular plants","UPHE","cf. Phacelia hastata",
"37297","cf. Plantago","NISP","pollen","NA","Vascular plants","UPHE","NA",
"13098","cf. Podophyllum","NISP","pollen","NA","Vascular plants","UPHE","cf. Podophyllum",
"37305","cf. Polygonum","NISP","pollen","NA","Vascular plants","UPHE","NA",
